Price,Name,CPU,RAM,HardDisk
319.00,Acer Aspire 3 A314-35-C2XJ ,Celeron N4500 ,4,256
379.00,Acer Aspire 3 A315 ,i3 1115G4 ,8,256
339.00,Acer Aspire 3 A315-35 , Celeron N5100 ,8,512
399.00,Acer Aspire 3 A315-510P , i3-N305 ,8,512
339.00,Acer Aspire 3 A315-510P , N100 ,8,256
359.00,Acer Aspire 3 A315-510P , N100 ,8,512
699.00,Acer Aspire 3 A315-59G-73WA ,i7 1255U ,8,512
499.00,Acer Aspire 5 A514-54 ,i5 1135G7 ,4,256
459.00,Acer Aspire 5 A514-54-38FL ,i3 1115G4 ,4,256
599.00,Acer Aspire 5 A514-54G-54BC ,i5 1135G7 ,4,256
739.00,Acer Aspire 5 A514-54G-75MU ,i7 1165G7 ,4,256
489.00,Acer Aspire 5 A514-55-35FN , i3 1215U ,4,256
619.00,Acer Aspire 5 A514-55-58WM , i5 1235U ,4,512
599.00,Acer Aspire 5 A514-55G-32LR , i3 1215U ,4,512
489.00,Acer Aspire 5 A515-57-30QG , i3 1215U ,4,256
539.00,Acer Aspire 5 A515-57-59GZ , i5 1235U ,8,512
729.00,Acer Aspire 5 A515-57G-505T , i5 1235U ,8,512
